Gene,Max Cell Type
CPA1,
CPA2,
CPA3,
CPA4,
CPA5,
CPA6,
CPAMD8,
CPB1,Human Oligodendrocytes
CPB2,Human Oligodendrocytes
CPD,
CPE,Human mature astrocytes
CPEB1,
CPEB2,
CPEB3,
CPEB4,
CPLX1,Human Neurons
CPLX2,Human Neurons
CPLX3,Human Neurons
CPLX4,
CPM,
CPN1,
CPN2,
CPNE1,
CPNE2,
CPNE3,Human mature astrocytes
CPNE4,Human Neurons
CPNE5,Human Neurons
CPNE6,
CPNE7,
CPNE8,Human Neurons
CPNE9,Human Neurons
CPO,Human Neurons
CPOX,Human Oligodendrocytes
CPPED1,Human Oligodendrocytes
CPQ,Human mature astrocytes
CPS1,
CPS1-IT1,
CPSF1,
CPSF2,
CPSF3,
CPSF3L,
CPSF4,Human Neurons
CPSF4L,
CPSF6,
CPSF7,Human mature astrocytes
CPT1A,Human mature astrocytes
CPT1B,
CPT1C,Human Neurons
CPT2,Human mature astrocytes
CPVL,Human Microglia/Macrophage
CPXCR1,
CPXM1,
CPXM2,
CPZ,
CR1L,
CRABP1,Human Neurons
CRABP2,Human Microglia/Macrophage
CRAMP1L,
CRAT,Human mature astrocytes
CRB1,Human mature astrocytes
CRB2,Human mature astrocytes
CRB3,
CRBN,
CRCP,
CRCT1,
CREB1,
CREB3,
CREB3L1,Human Oligodendrocytes
CREB3L2,Human Microglia/Macrophage
CREB3L3,
CREB3L4,Human mature astrocytes
CREB5,Human Oligodendrocytes
CREBBP,
CREBL2,Human Microglia/Macrophage
CREBZF,Human Neurons
CREG1,Human Microglia/Macrophage
CREG2,Human Neurons
CRELD1,Human Neurons
CRELD2,Human mature astrocytes
CREM,Human Microglia/Macrophage
CRH,Human Neurons
CRHBP,Human Neurons
CRHR1,
CRHR1,
CRHR2,Human Neurons
CRIM1,
CRIP1,Human Endothelial
CRIP2,Human Endothelial
CRIP3,Human Neurons
CRIPAK,Human Microglia/Macrophage
CRIPT,
CRISP1,
CRISP2,
CRISP3,
CRISPLD1,
CRISPLD2,Human Oligodendrocytes
CRK,
CRKL,
CRLF1,Human mature astrocytes
CRLF2,
CRLF2,
CRLS1,Human Neurons
CRMP1,
CRNDE,
CRNKL1,
CRNN,
CROCC,Human Microglia/Macrophage
CROCCP2,Human Neurons
CROCCP3,
CROT,Human mature astrocytes
CRP,
CRSP8P,
CRTAC1,Human Neurons
CRTAM,Human Microglia/Macrophage
CRTAP,Human Oligodendrocytes
CRTC1,Human mature astrocytes
CRTC2,Human Microglia/Macrophage
CRTC3,Human Oligodendrocytes
CRX,
CRY1,
CRY2,Human mature astrocytes
CRYAA,
CRYAB,Human Oligodendrocytes
CRYBA1,
CRYBA2,
CRYBA4,
CRYBB1,Human Microglia/Macrophage
CRYBB2,Human Endothelial
CRYBB2P1,
CRYBB3,
CRYGA,
CRYGB,
CRYGC,
CRYGD,
CRYGN,
CRYGS,Human Neurons
CRYL1,Human mature astrocytes
CRYM,Human Neurons
CRYM-AS1,
CRYZ,
CRYZL1,
CS,
CSAD,Human Neurons
CSAG1,Human Endothelial
CSAG2,
CSAG2,
CSAG3,
CSAG3,
CSDA,Human Endothelial
CSDAP1,Human Endothelial
CSDC2,Human mature astrocytes
CSDE1,
CSE1L,
CSF1,Human Microglia/Macrophage
CSF1R,Human Microglia/Macrophage
CSF2,
CSF2RA,Human Microglia/Macrophage
CSF2RA,Human Microglia/Macrophage
CSF2RB,Human Microglia/Macrophage
CSF3,Human Endothelial
CSF3R,Human Microglia/Macrophage
CSGALNACT1,Human mature astrocytes
CSGALNACT2,Human Oligodendrocytes
CSH1,
CSH2,
CSHL1,
CSK,Human Microglia/Macrophage
CSMD1,Human Neurons
CSMD2,Human Neurons
CSMD3,Human Neurons
CSN1S1,
CSN1S2AP,
CSN1S2BP,
CSN2,
CSN3,
CSNK1A1,Human Microglia/Macrophage
CSNK1A1L,
CSNK1A1P1,
CSNK1D,Human Microglia/Macrophage
CSNK1E,
CSNK1G1,
CSNK1G2,
CSNK1G2-AS1,
CSNK1G3,Human Neurons
CSNK2A1,
CSNK2A1P,Human Neurons
CSNK2A2,
CSNK2B,
CSNK2B,
CSNK2B,
CSNK2B,
CSNK2B,
CSNK2B,
CSNK2B,
CSPG4,
CSPG4P1Y,
CSPG4P1Y,
CSPG5,Human mature astrocytes
CSPP1,
CSRNP1,
CSRNP2,Human Neurons
CSRNP3,Human Neurons
CSRP1,Human mature astrocytes
CSRP2,
CSRP2BP,
CSRP3,
CST1,
CST11,
CST2,
CST3,Human mature astrocytes
CST4,
CST5,
CST6,
CST7,
CST9,
CST9L,
CSTA,Human Microglia/Macrophage
CSTB,
CSTF1,Human Neurons
CSTF2,Human Neurons
CSTF2T,
CSTF3,Human Neurons
CSTL1,
CSTT,
CT45A1,Human Endothelial
CT45A2,
CT45A3,
CT45A4,Human Endothelial
CT45A4,
CT45A5,Human Endothelial
CT45A6,Human Endothelial
CT47A1,
CT47A1,
CT47A1,
CT47A10,
CT47A10,
CT47A11,
CT47A4,
CT47A5,
CT47A5,
CT47A6,
CT47A6,
CT47A7,
CT47A8,
CT47A8,
CT47B1,
CT62,
CTAG1A,
CTAG1B,
CTAG2,
CTAGE1,
CTAGE10P,
CTAGE11P,
CTAGE15P,
CTAGE4,
CTAGE4,
CTAGE5,
CTAGE6P,Human Neurons
CTAGE7P,
CTAGE9,
CTBP1,
CTBP2,
CTBS,
CTC1,
CTCF,
CTCFL,
CTDNEP1,
CTDP1,
CTDSP1,
CTDSP2,
CTDSPL,Human mature astrocytes
CTDSPL2,
CTF1,Human mature astrocytes
CTGF,Human Endothelial
CTH,Human mature astrocytes
CTHRC1,Human Oligodendrocytes
CTIF,Human mature astrocytes
CTLA4,Human Microglia/Macrophage
CTNNA1,
CTNNA2,Human mature astrocytes
CTNNA3,Human Oligodendrocytes
CTNNAL1,
CTNNB1,
CTNNBIP1,
CTNNBL1,Human Microglia/Macrophage
CTNND1,Human Microglia/Macrophage
CTNND2,Human mature astrocytes
CTNS,
CTPS,Human Neurons
CTPS2,
CTR9,Human Neurons
CTRB1,
CTRB2,
CTRC,
CTRL,
CTSA,
CTSB,Human Microglia/Macrophage
CTSC,Human Microglia/Macrophage
CTSD,Human mature astrocytes
CTSE,
CTSF,
CTSG,
CTSK,Human Oligodendrocytes
CTSL1,Human Microglia/Macrophage
CTSL1P2,
CTSL1P8,
CTSL2,
CTSL3,
CTSO,
CTSS,Human Microglia/Macrophage
CTSW,
CTSZ,Human Microglia/Macrophage
CTTN,
CTTNBP2,Human Microglia/Macrophage
CTTNBP2NL,Human Microglia/Macrophage
CTU1,
CTU2,
CTXN1,
CTXN2,Human Neurons
CTXN3,Human Neurons
CUBN,Human mature astrocytes
CUEDC1,
CUEDC2,Human mature astrocytes
CUL1,Human Neurons
CUL2,Human Neurons
CUL3,
CUL4A,
CUL4B,
CUL5,
CUL7,Human mature astrocytes
CUL9,
CUTA,
CUTA,
CUTC,
CUX1,
CUX2,Human Neurons
CUZD1,Human Neurons
CWC15,
CWC22,
CWC25,
CWC27,
CWF19L1,Human Neurons
CWF19L2,
CWH43,
CX3CL1,Human Endothelial
CX3CR1,Human Microglia/Macrophage
CXADR,
CXADRP2,Human Neurons
CXADRP3,
CXCL1,Human Endothelial
CXCL10,Human Microglia/Macrophage
CXCL11,Human Endothelial
CXCL12,Human Microglia/Macrophage
CXCL13,
CXCL14,Human Neurons
CXCL16,Human Microglia/Macrophage
CXCL17,Human Endothelial
CXCL2,
CXCL3,Human mature astrocytes
CXCL5,Human mature astrocytes
CXCL6,
CXCL9,Human Endothelial
CXCR1,Human Microglia/Macrophage
CXCR2,Human Microglia/Macrophage
CXCR2P1,
CXCR3,
CXCR4,Human Microglia/Macrophage
CXCR5,
CXCR6,
CXCR7,Human mature astrocytes
CXorf1,Human mature astrocytes
CXorf21,Human Microglia/Macrophage
CXorf22,
CXorf23,
CXorf26,Human Microglia/Macrophage
CXorf27,
CXorf28,Human Oligodendrocytes
CXorf30,
CXorf31,Human Microglia/Macrophage
CXorf36,Human Endothelial
CXorf38,Human Microglia/Macrophage
CXorf40A,Human Microglia/Macrophage
CXorf40B,
CXorf41,Human Neurons
CXorf48,Human Neurons
CXorf49B,
CXorf49B,
CXorf51A,
CXorf51A,
CXorf56,Human Neurons
CXorf57,
CXorf58,
CXorf59,
CXorf61,
CXorf64,
CXorf65,Human Microglia/Macrophage
CXorf66,
CXorf68,Human Microglia/Macrophage
CXorf69,Human Endothelial
CXXC1,
CXXC11,
CXXC1P1,
CXXC4,Human Neurons
CXXC5,
CYB561,Human Neurons
CYB561D1,
CYB561D2,Human Microglia/Macrophage
CYB5A,
CYB5B,Human mature astrocytes
CYB5D1,Human Microglia/Macrophage
CYB5D2,
CYB5R1,
CYB5R2,Human Oligodendrocytes
CYB5R3,
CYB5R4,
CYB5RL,
CYBA,Human Microglia/Macrophage
CYBASC3,
CYBB,Human Microglia/Macrophage
CYBRD1,Human mature astrocytes
CYC1,
CYCS,
CYCSP52,Human Microglia/Macrophage
CYFIP1,Human Microglia/Macrophage
CYFIP2,Human Neurons
CYGB,
CYHR1,Human mature astrocytes
CYLC1,
CYLC2,
CYLD,
CYMP,
CYP11A1,Human mature astrocytes
CYP11B1,
CYP11B2,
CYP17A1,
CYP19A1,Human Microglia/Macrophage
CYP1A1,
CYP1A2,
CYP1B1,Human Endothelial
CYP1B1-AS1,
CYP20A1,
CYP21A1P,
CYP21A1P,
CYP21A1P,
CYP21A1P,
CYP21A1P,
CYP21A1P,
CYP21A1P,
CYP21A2,
CYP21A2,
CYP21A2,
CYP21A2,
CYP21A2,
CYP21A2,
CYP21A2,
CYP21A2,
CYP21A2,
CYP24A1,
CYP26A1,Human Microglia/Macrophage
CYP26B1,Human Neurons
CYP26C1,
CYP27A1,
CYP27B1,Human Microglia/Macrophage
CYP27C1,
CYP2A13,
CYP2A6,
CYP2A7,
CYP2B6,
CYP2B7P1,
CYP2C18,
CYP2C19,Human Oligodendrocytes
CYP2C8,Human Neurons
CYP2C9,
CYP2D6,
CYP2D7P1,
CYP2E1,Human Neurons
CYP2F1,
CYP2G1P,Human Neurons
CYP2J2,Human mature astrocytes
CYP2R1,Human Microglia/Macrophage
CYP2S1,Human Microglia/Macrophage
CYP2U1,
CYP2W1,
CYP39A1,Human Endothelial
CYP3A4,
CYP3A43,Human mature astrocytes
CYP3A5,Human Neurons
CYP3A7,Human Neurons
CYP3A7-CYP3AP1,
CYP46A1,Human mature astrocytes
CYP4A11,
CYP4A22,
CYP4B1,Human Endothelial
CYP4F11,Human mature astrocytes
CYP4F12,
CYP4F2,
CYP4F22,
CYP4F24P,
CYP4F3,
CYP4F30P,
CYP4F35P,Human Neurons
CYP4F8,
CYP4V2,Human mature astrocytes
CYP4X1,Human Neurons
CYP4Z1,Human Neurons
CYP4Z2P,
CYP51A1,
CYP7A1,
CYP7B1,Human mature astrocytes
CYP8B1,
CYR61,
CYS1,Human mature astrocytes
CYSLTR1,Human Microglia/Macrophage
CYSLTR2,Human Endothelial
CYSTM1,Human mature astrocytes
CYTH1,
CYTH2,
CYTH3,Human Endothelial
CYTH4,Human Microglia/Macrophage
CYTIP,Human Microglia/Macrophage
CYTL1,Human Microglia/Macrophage
CYYR1,Human Endothelial
D21S2088E,Human Endothelial
D2HGDH,
D4S234E,Human Neurons
DAAM1,Human Neurons
DAAM2,Human Oligodendrocytes
DAB1,Human Neurons
DAB2,Human Microglia/Macrophage
DAB2IP,Human Endothelial
DACH1,Human Endothelial
DACH2,Human Neurons
DACT1,Human Neurons
DACT2,Human Endothelial
DACT3,
DAD1,
DAG1,Human mature astrocytes
DAGLA,Human mature astrocytes
DAGLB,Human Microglia/Macrophage
DAK,
DALRD3,
DANCR,
DAND5,
DAO,
DAOA,
DAOA-AS1,
DAP,
DAP3,
DAPK1,
DAPK2,Human Oligodendrocytes
DAPK3,
DAPL1,Human Oligodendrocytes
DAPP1,Human Microglia/Macrophage
DARC,Human Endothelial
DARS,Human mature astrocytes
DARS2,
DAXX,
DAXX,
DAXX,
DAXX,
DAXX,
DAZ1,
DAZ2,
DAZ2,
DAZ3,
DAZ3,
DAZ3,
DAZ4,
DAZ4,
DAZ4,
DAZ4,
DAZAP1,
DAZAP2,
DAZL,
DBC1,
DBF4,Human Microglia/Macrophage
DBF4B,
DBH,
DBI,Human Microglia/Macrophage
DBIL5P,Human Microglia/Macrophage
DBIL5P2,
DBN1,
DBNDD1,Human mature astrocytes
DBNDD2,Human Oligodendrocytes
DBNL,Human Microglia/Macrophage
DBP,Human mature astrocytes
DBR1,
DBT,Human mature astrocytes
DBX1,
DBX2,Human mature astrocytes
DCAF10,
DCAF11,Human mature astrocytes
DCAF12,
DCAF12L1,
DCAF12L2,Human Neurons
DCAF13,
DCAF15,
DCAF16,
DCAF17,
DCAF4,Human Neurons
DCAF4L1,Human Neurons
DCAF4L2,
DCAF5,
DCAF6,Human Neurons
DCAF7,
DCAF8,
DCAF8L1,
DCAF8L2,
DCAKD,Human mature astrocytes
DCBLD1,Human Endothelial
DCBLD2,Human Neurons
DCC,
DCD,
DCDC1,Human Neurons
DCDC2,Human Neurons
DCDC2B,Human Endothelial
DCDC5,
DCHS1,Human mature astrocytes
DCHS2,Human mature astrocytes
DCK,
DCLK1,Human Neurons
DCLK2,Human mature astrocytes
DCLK3,
DCLRE1A,
DCLRE1B,Human mature astrocytes
DCLRE1C,
DCN,Human Endothelial
DCP1A,Human Microglia/Macrophage
DCP1B,
DCP2,Human Neurons
DCPS,
DCST1,
DCST2,
DCT,Human mature astrocytes
DCTD,
DCTN1,
DCTN2,Human Neurons
DCTN3,
DCTN4,
DCTN5,
DCTN6,
DCTPP1,Human Neurons
DCUN1D1,Human mature astrocytes
DCUN1D2,Human Neurons
DCUN1D3,
DCUN1D4,Human Neurons
DCUN1D5,
DCX,Human Neurons
DCXR,Human mature astrocytes
DDA1,Human mature astrocytes
DDAH1,Human mature astrocytes
DDAH2,Human Microglia/Macrophage
DDAH2,Human Microglia/Macrophage
DDAH2,
DDAH2,
DDAH2,
DDAH2,
DDAH2,Human Microglia/Macrophage
DDB1,Human mature astrocytes
DDB2,Human Microglia/Macrophage
DDC,
DDHD1,Human Neurons
DDHD2,Human Neurons
DDI1,
DDI2,Human Neurons
DDIT3,Human Microglia/Macrophage
DDIT4,Human mature astrocytes
DDIT4L,Human mature astrocytes
DDN,
DDO,Human mature astrocytes
DDOST,
DDR1,Human mature astrocytes
DDR1,
DDR1,
DDR1,
DDR1,
DDR1,Human mature astrocytes
DDR2,Human mature astrocytes
DDRGK1,
DDT,Human Neurons
DDTL,
DDX1,Human Neurons
DDX10,Human Neurons
DDX11,
DDX11L1,
DDX11L1,
DDX11L10,
DDX11L2,
DDX11L9,
DDX12P,
DDX17,
DDX18,
DDX19A,
DDX19B,Human Microglia/Macrophage
DDX20,
DDX21,Human Microglia/Macrophage
DDX23,
DDX24,Human Neurons
DDX25,
DDX26B,
DDX27,Human Microglia/Macrophage
DDX28,
DDX31,Human mature astrocytes
DDX39A,Human Microglia/Macrophage
DDX39B,Human Microglia/Macrophage
DDX39B,Human Microglia/Macrophage
DDX39B,
DDX39B,Human Microglia/Macrophage
DDX39B,
DDX39B,Human Microglia/Macrophage
DDX39B,Human Microglia/Macrophage
DDX39B,
DDX3X,Human Microglia/Macrophage
DDX3Y,Human Microglia/Macrophage
DDX4,Human Neurons
DDX41,
DDX42,
DDX43,Human Microglia/Macrophage
DDX46,
DDX47,
DDX49,
DDX5,Human Microglia/Macrophage
DDX50,
DDX51,
DDX52,
DDX53,Human mature astrocytes
DDX54,
DDX55,
DDX56,
DDX58,
DDX59,
DDX6,
DDX60,
DDX60L,Human Microglia/Macrophage
DEAF1,Human Endothelial
DECR1,Human mature astrocytes
DECR2,Human Neurons
DEDD,
DEDD2,Human Endothelial
DEF6,Human Microglia/Macrophage
DEF8,
DEFA1,
DEFA10P,
DEFA1B,
DEFA1B,
DEFA3,
DEFA4,
DEFA5,
DEFA6,
DEFB1,
DEFB103A,
DEFB103A,
DEFB103B,
DEFB103B,
DEFB104B,
DEFB104B,
DEFB105B,
DEFB105B,
DEFB106B,
DEFB106B,
DEFB107A,
DEFB107B,
DEFB108B,
DEFB109P1,Human mature astrocytes
DEFB109P1B,
DEFB109P1B,
DEFB110,
DEFB112,
DEFB113,
DEFB114,
DEFB115,
DEFB116,
DEFB118,
DEFB119,
DEFB121,
DEFB122,
DEFB123,
DEFB124,
DEFB125,
DEFB126,
DEFB127,
DEFB128,
DEFB129,
DEFB130,
DEFB131,
DEFB132,
DEFB133,
DEFB134,
DEFB135,
DEFB136,
DEFB4A,
DEFB4B,
DEFT1P,
DEFT1P,
DEGS1,
DEGS2,Human Endothelial
DEK,
DEM1,
DENND1A,
DENND1B,
DENND1C,Human Microglia/Macrophage
DENND2A,Human Endothelial
DENND2C,Human Endothelial
DENND2D,Human Microglia/Macrophage
DENND3,Human Microglia/Macrophage
DENND4A,Human Microglia/Macrophage
DENND4B,
DENND4C,
DENND5A,Human Oligodendrocytes
DENND5B,Human Neurons
DENR,Human Neurons
DEPDC1,
DEPDC1B,Human Endothelial
DEPDC4,
DEPDC5,Human Neurons
DEPDC7,Human Oligodendrocytes
DEPTOR,
DERA,
DERL1,
DERL2,
DERL3,
DES,
DET1,
DEXI,
DFFA,Human mature astrocytes
DFFB,
DFNA5,
DFNB31,Human Oligodendrocytes
DFNB59,Human mature astrocytes
DGAT1,
DGAT2,
DGAT2L6,
DGCR10,Human Microglia/Macrophage
DGCR11,
DGCR14,Human Neurons
DGCR2,Human mature astrocytes
DGCR5,Human mature astrocytes
DGCR6,
DGCR6L,
DGCR8,
DGCR9,Human Neurons
DGKA,Human Microglia/Macrophage
DGKB,Human Neurons
DGKD,
DGKE,Human Neurons
DGKG,
DGKH,
DGKI,Human Neurons
DGKK,
DGKQ,Human Neurons
DGKZ,
DGUOK,Human Neurons
DHCR24,
DHCR7,Human mature astrocytes
DHDDS,
DHDH,
DHFR,Human Oligodendrocytes
DHFRL1,
DHH,
DHODH,
DHPS,
DHRS1,Human Neurons
DHRS11,Human Neurons
DHRS12,
DHRS13,
DHRS2,
DHRS3,
DHRS4,
DHRS4L1,Human mature astrocytes
DHRS4L2,
DHRS7,Human Microglia/Macrophage
DHRS7B,Human mature astrocytes
DHRS7C,
DHRS9,Human Microglia/Macrophage
DHRSX,Human mature astrocytes
DHRSX,Human mature astrocytes
DHTKD1,Human mature astrocytes
DHX15,Human Microglia/Macrophage
DHX16,Human Microglia/Macrophage
DHX16,Human Microglia/Macrophage
DHX16,Human Microglia/Macrophage
DHX16,
DHX16,Human Microglia/Macrophage
DHX16,Human Microglia/Macrophage
DHX16,
DHX16,
DHX29,
DHX30,Human mature astrocytes
DHX32,
DHX33,Human Neurons
DHX34,Human Microglia/Macrophage
DHX35,
DHX36,
DHX37,
DHX38,
DHX40,Human Neurons
DHX57,
DHX58,Human Endothelial
DHX8,
DHX9,
DIABLO,
DIAPH1,
DIAPH2,Human Microglia/Macrophage
DIAPH3,Human mature astrocytes
DICER1,
DICER1-AS1,
DIDO1,
DIEXF,Human Neurons
DIMT1,
DIO1,Human Microglia/Macrophage
DIO2,Human mature astrocytes
DIO3,Human Endothelial
DIO3OS,
DIP2A,Human Microglia/Macrophage
DIP2B,Human Oligodendrocytes
DIP2C,
DIRAS1,Human Neurons
DIRAS2,Human Neurons
DIRAS3,Human Neurons
DIRC1,
DIRC2,Human mature astrocytes
DIRC3,
DIS3,
DIS3L,
DIS3L2,
DISC1,Human Microglia/Macrophage
DISC2,
DISP1,Human Microglia/Macrophage
DISP2,Human Neurons
DIXDC1,
DKC1,Human Microglia/Macrophage
DKFZP434A062,
DKFZP434H168,Human mature astrocytes
DKFZP434I0714,
DKFZp434J0226,Human mature astrocytes
DKFZP434K028,
DKFZP434L187,
DKFZp434L192,
DKFZp451B082,Human Oligodendrocytes
DKFZP564C196,Human Neurons
DKFZp566F0947,
DKFZP586I1420,Human Microglia/Macrophage
DKFZp686D0853,
DKFZP686I15217,
DKFZp686K1684,
DKFZp686O1327,
DKFZp779M0652,Human mature astrocytes
DKK1,Human Neurons
DKK2,Human Neurons
DKK3,
DKK4,
DKKL1,
DLAT,Human Neurons
DLC1,Human mature astrocytes
DLD,
DLEC1,
DLEU1,
DLEU2,
DLEU2L,Human Neurons
DLEU7,Human Microglia/Macrophage
DLG1,Human Oligodendrocytes
DLG2,Human Neurons
DLG3,Human Neurons
DLG4,Human Neurons
DLG5,
DLGAP1,Human Neurons
DLGAP2,Human Neurons
DLGAP3,
DLGAP4,
DLGAP5,
DLK1,
DLK2,
DLL1,Human Oligodendrocytes
DLL3,Human Endothelial
DLL4,Human Endothelial
DLST,
DLX1,Human Neurons
DLX2,Human Neurons
DLX3,
DLX4,
DLX5,Human Neurons
DLX6,Human Neurons
DLX6-AS1,Human Neurons
DMAP1,
DMBT1,
DMBX1,
DMC1,Human mature astrocytes
DMD,Human mature astrocytes
DMGDH,Human mature astrocytes
DMKN,Human Endothelial
DMP1,
DMPK,Human mature astrocytes
DMRT1,
DMRT2,Human Oligodendrocytes
DMRT3,
DMRTA1,Human mature astrocytes
DMRTA2,
DMRTB1,
DMRTC1B,Human Neurons
DMRTC1B,Human Neurons
DMRTC2,
DMTF1,
DMWD,
DMXL1,Human Neurons
DMXL2,Human Neurons
DNA2,
DNAAF1,Human mature astrocytes
DNAAF2,
DNAH1,Human Microglia/Macrophage
DNAH10,
DNAH11,Human Neurons
DNAH12,Human Neurons
DNAH14,Human Neurons
DNAH17,Human Oligodendrocytes
DNAH2,Human Neurons
DNAH3,
DNAH5,
DNAH6,Human Neurons
DNAH7,Human mature astrocytes
DNAH8,
DNAH9,Human mature astrocytes
DNAI1,Human mature astrocytes
DNAI2,
DNAJA1,
DNAJA1P5,Human Neurons
DNAJA2,Human Neurons
DNAJA3,
DNAJA4,Human Neurons
DNAJB1,
DNAJB11,Human Microglia/Macrophage
DNAJB12,Human Microglia/Macrophage
DNAJB13,
DNAJB14,Human Neurons
DNAJB2,
DNAJB3,
DNAJB4,
DNAJB5,Human mature astrocytes
DNAJB6,
DNAJB7,Human Neurons
DNAJB8,
DNAJB8-AS1,
DNAJB9,
DNAJC1,
DNAJC10,Human Microglia/Macrophage
DNAJC11,
DNAJC12,Human Neurons
DNAJC13,Human Microglia/Macrophage
DNAJC14,Human Microglia/Macrophage
DNAJC15,
DNAJC16,Human Neurons
DNAJC17,
DNAJC18,
DNAJC19,Human Neurons
DNAJC2,Human Microglia/Macrophage
DNAJC21,Human Oligodendrocytes
DNAJC22,Human Oligodendrocytes
DNAJC24,
DNAJC25,Human Neurons
DNAJC25-GNG10,
DNAJC27,Human Neurons
DNAJC27-AS1,
DNAJC28,Human Neurons
DNAJC3,
DNAJC30,
DNAJC4,
DNAJC5,
DNAJC5B,Human Neurons
DNAJC5G,Human Neurons
DNAJC6,Human Neurons
DNAJC7,Human Neurons
DNAJC8,
DNAJC9,Human Neurons
DNAL1,Human Neurons
DNAL4,
DNALI1,Human mature astrocytes
DNASE1,
DNASE1L1,
DNASE1L2,
DNASE1L3,Human Endothelial
DNASE2,
DNASE2B,Human Oligodendrocytes
DND1,
DNER,Human Neurons
DNHD1,Human mature astrocytes
DNLZ,
DNM1,Human Neurons
DNM1L,Human Neurons
DNM1P35,
DNM1P41,
DNM1P46,
DNM2,Human Endothelial
DNM3,Human Neurons
DNM3OS,
DNMBP,Human Microglia/Macrophage
DNMBP-AS1,Human mature astrocytes
DNMT1,
DNMT3A,
DNMT3B,
DNMT3L,
DNPEP,
DNTT,Human Oligodendrocytes
DNTTIP1,Human mature astrocytes
DNTTIP2,Human Microglia/Macrophage
DOC2A,Human Neurons
DOC2B,Human Endothelial
DOC2GP,
DOCK1,Human Oligodendrocytes
DOCK10,
DOCK11,Human Microglia/Macrophage
DOCK2,Human Microglia/Macrophage
DOCK3,Human Neurons
DOCK4,Human Microglia/Macrophage
DOCK5,Human Oligodendrocytes
DOCK6,Human Endothelial
DOCK7,Human mature astrocytes
DOCK8,Human Microglia/Macrophage
DOCK9,Human Endothelial
DOHH,
DOK1,Human Microglia/Macrophage
DOK2,Human Microglia/Macrophage
DOK3,Human Microglia/Macrophage
DOK4,
DOK5,Human mature astrocytes
DOK6,Human Neurons
DOK7,
DOLK,Human mature astrocytes
DOLPP1,
DOM3Z,
DOM3Z,
DOM3Z,
DOM3Z,
DOM3Z,
DOM3Z,
DONSON,Human Neurons
DOPEY1,Human Neurons
DOPEY2,
DOT1L,Human Microglia/Macrophage
DPAGT1,
DPCD,Human Neurons
DPCR1,
DPCR1,
DPCR1,
DPCR1,
DPCR1,
DPEP1,
DPEP2,Human Endothelial
DPEP3,
DPF1,
DPF2,
DPF3,Human mature astrocytes
DPH1,
DPH2,Human Neurons
DPH3,
DPH3P1,Human Oligodendrocytes
DPH5,
DPM1,Human Neurons
DPM2,Human Endothelial
DPM3,Human Neurons
DPP10,Human Neurons
DPP3,
DPP4,Human Microglia/Macrophage
DPP6,Human Neurons
DPP7,Human mature astrocytes
DPP8,
DPP9,
DPPA2,
DPPA3,
DPPA4,Human Endothelial
DPPA5,
DPRX,Human Neurons
DPRXP4,Human Microglia/Macrophage
DPT,Human Neurons
DPY19L1,
DPY19L1P1,
DPY19L2,Human Neurons
DPY19L2P1,Human Neurons
DPY19L2P2,Human Neurons
DPY19L2P3,
DPY19L2P4,Human Neurons
DPY19L3,Human mature astrocytes
DPY19L4,
DPY30,
DPYD,Human Oligodendrocytes
DPYS,Human Microglia/Macrophage
DPYSL2,
DPYSL3,
DPYSL4,Human Neurons
DPYSL5,Human Neurons
DQX1,
DR1,
DRAM1,Human Microglia/Macrophage
DRAM2,Human Microglia/Macrophage
DRAP1,
DRD1,Human Neurons
DRD2,
DRD3,Human Neurons
DRD4,
DRD5,Human Neurons
DRG1,Human Neurons
DRG2,
DRGX,
DROSHA,
DRP2,Human Neurons
DSC1,Human mature astrocytes
DSC2,Human Microglia/Macrophage
DSC3,
DSCAM,Human Oligodendrocytes
DSCAM-AS1,
DSCAML1,
DSCC1,
DSCR10,
DSCR3,
DSCR4,
DSCR6,
DSCR8,
DSCR9,Human Neurons
DSE,Human Microglia/Macrophage
DSEL,Human Oligodendrocytes
DSG1,
DSG2,
DSG3,
DSG4,
DSN1,
DSP,Human Endothelial
DSPP,
DST,
DSTN,Human Neurons
DSTNP2,Human Neurons
DSTYK,
DTD1,Human Neurons
DTHD1,
DTL,Human Oligodendrocytes
DTNA,Human mature astrocytes
DTNB,
DTNBP1,
DTWD1,Human Neurons
DTWD2,Human mature astrocytes
DTX1,Human mature astrocytes
DTX2,
DTX2P1-UPK3BP1-PMS2P11,
DTX3,Human mature astrocytes
DTX3L,
DTX4,
DTYMK,
DUOX1,Human Microglia/Macrophage
DUOX2,
DUOXA1,
DUOXA2,
DUPD1,
DUS1L,
DUS2L,Human mature astrocytes
DUS3L,
DUS4L,
DUSP1,Human Microglia/Macrophage
DUSP10,Human Oligodendrocytes
DUSP11,Human Neurons
DUSP12,Human Neurons
DUSP13,
DUSP14,
DUSP15,
DUSP16,Human Oligodendrocytes
DUSP18,
DUSP19,Human Neurons
DUSP2,Human Microglia/Macrophage
DUSP21,
DUSP22,
DUSP23,
DUSP26,Human Neurons
DUSP27,Human Microglia/Macrophage
DUSP28,Human Neurons
DUSP3,Human Neurons
DUSP4,Human Microglia/Macrophage
DUSP5,Human Microglia/Macrophage
DUSP5P,
DUSP6,Human Microglia/Macrophage
DUSP7,Human Oligodendrocytes
DUSP8,Human Neurons
DUSP9,
DUT,Human Neurons
DUX2,
DUX2,
DUX2,
DUX2,
DUX2,
DUX2,
DUX2,
DUX2,
DUX2,
DUX2,
